分类: 卫视频道, 名称: 湖南卫视, 有效: 8, IPv4: 246, IPv6: 0, 最小延迟: 116 ms, 最高速率: 15.19 M/s, 平均速率: 8.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 江苏卫视, 有效: 8, IPv4: 290, IPv6: 0, 最小延迟: 116 ms, 最高速率: 15.54 M/s, 平均速率: 6.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.75, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 吉林卫视, 有效: 8, IPv4: 201, IPv6: 0, 最小延迟: 116 ms, 最高速率: 15.31 M/s, 平均速率: 6.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 安徽卫视, 有效: 8, IPv4: 191, IPv6: 0, 最小延迟: 116 ms, 最高速率: 9.85 M/s, 平均速率: 6.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.29, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 山西卫视, 有效: 5, IPv4: 51, IPv6: 0, 最小延迟: 117 ms, 最高速率: 15.16 M/s, 平均速率: 8.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.12, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 深圳卫视, 有效: 8, IPv4: 249, IPv6: 0, 最小延迟: 115 ms, 最高速率: 15.61 M/s, 平均速率: 3.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.99, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 东南卫视, 有效: 8, IPv4: 250, IPv6: 0, 最小延迟: 116 ms, 最高速率: 15.88 M/s, 平均速率: 9.42 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.38, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 广东卫视, 有效: 8, IPv4: 299, IPv6: 0, 最小延迟: 115 ms, 最高速率: 12.37 M/s, 平均速率: 2.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: aac
分类: 卫视频道, 名称: 广西卫视, 有效: 8, IPv4: 197, IPv6: 0, 最小延迟: 111 ms, 最高速率: 10.90 M/s, 平均速率: 6.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.24, 视频编解码器: h264, 音频编解码器: mp2
分类: 卫视频道, 名称: 河北卫视, 有效: 8, IPv4: 250, IPv6: 0, 最小延迟: 108 ms, 最高速率: 20.41 M/s, 平均速率: 10.15 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.70, 视频编解码器: h264, 音频编解码器: mp2
